location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,be_me,monthly,ew,1,13,4,1950-11-30,0.053095399525
usa,be_me,monthly,ew,1,16,6,1950-12-31,0.03020592233
usa,be_me,monthly,ew,1,21,8,1951-01-31,0.0148504944557692
usa,be_me,monthly,ew,1,30,12,1951-02-28,-0.00530834531666667
usa,be_me,monthly,ew,1,39,17,1951-03-31,-0.0100319308516043
usa,be_me,monthly,ew,1,45,19,1951-04-30,0.0345318219744939
usa,be_me,monthly,ew,1,213,96,1951-05-31,0.00465979497142094
usa,be_me,monthly,ew,1,220,98,1951-06-30,-0.01479445702091
usa,be_me,monthly,ew,1,224,100,1951-07-31,-0.00158111378735484
usa,be_me,monthly,ew,1,230,103,1951-08-31,0.00748259421097011
usa,be_me,monthly,ew,1,234,105,1951-09-30,0.00748196382680365
usa,be_me,monthly,ew,1,236,107,1951-10-31,0.0147268612342317
usa,be_me,monthly,ew,1,236,106,1951-11-30,-0.0047970433174746
usa,be_me,monthly,ew,1,238,107,1951-12-31,-0.0270679405981951
usa,be_me,monthly,ew,1,239,107,1952-01-31,0.00657240648764514
usa,be_me,monthly,ew,1,237,106,1952-02-29,0.0183859744695449
usa,be_me,monthly,ew,1,237,107,1952-03-31,-0.0033088576233573
usa,be_me,monthly,ew,1,238,107,1952-04-30,0.0067255917079689
usa,be_me,monthly,ew,1,239,108,1952-05-31,-0.00434112424990811
usa,be_me,monthly,ew,1,241,107,1952-06-30,0.00314487075514716
usa,be_me,monthly,ew,1,239,108,1952-07-31,0.00374017196378287
usa,be_me,monthly,ew,1,240,109,1952-08-31,0.0070663241636109
usa,be_me,monthly,ew,1,240,108,1952-09-30,-0.00347085573939394
usa,be_me,monthly,ew,1,241,109,1952-10-31,0.00441592063017793
usa,be_me,monthly,ew,1,241,109,1952-11-30,-0.000644686789359188
usa,be_me,monthly,ew,1,242,110,1952-12-31,0.00723898860515152
usa,be_me,monthly,ew,1,241,110,1953-01-31,0.0316702139551492
usa,be_me,monthly,ew,1,241,110,1953-02-28,0.00145254320776544
usa,be_me,monthly,ew,1,242,109,1953-03-31,0.00986274436998
usa,be_me,monthly,ew,1,244,110,1953-04-30,0.0120612237691995
usa,be_me,monthly,ew,1,244,111,1953-05-31,-0.0041775213262345
usa,be_me,monthly,ew,1,243,110,1953-06-30,-0.0120538930591934
usa,be_me,monthly,ew,1,241,109,1953-07-31,0.00389497008699611
usa,be_me,monthly,ew,1,242,111,1953-08-31,-0.0202887375234165
usa,be_me,monthly,ew,1,244,111,1953-09-30,-0.0236900223158233
usa,be_me,monthly,ew,1,244,111,1953-10-31,0.00609989040174761
usa,be_me,monthly,ew,1,243,111,1953-11-30,-0.0119571835816339
usa,be_me,monthly,ew,1,242,109,1953-12-31,-0.0295693974897358
usa,be_me,monthly,ew,1,243,110,1954-01-31,0.0444494735880314
usa,be_me,monthly,ew,1,241,110,1954-02-28,-0.00907683084160305
usa,be_me,monthly,ew,1,241,111,1954-03-31,-0.0198865080830977
usa,be_me,monthly,ew,1,244,111,1954-04-30,-0.0323464968852063
usa,be_me,monthly,ew,1,245,111,1954-05-31,0.020372612142934
usa,be_me,monthly,ew,1,245,112,1954-06-30,-0.0070900337887688
usa,be_me,monthly,ew,1,245,111,1954-07-31,0.0197496297334947
usa,be_me,monthly,ew,1,243,110,1954-08-31,0.0192696926149966
usa,be_me,monthly,ew,1,244,111,1954-09-30,-0.0107528769928538
usa,be_me,monthly,ew,1,244,110,1954-10-31,-0.00876892584348711
usa,be_me,monthly,ew,1,241,111,1954-11-30,0.00934816641302148
usa,be_me,monthly,ew,1,239,110,1954-12-31,0.0484108952942002
usa,be_me,monthly,ew,1,241,110,1955-01-31,0.0204008293922068
usa,be_me,monthly,ew,1,242,109,1955-02-28,-0.0085599693317307
usa,be_me,monthly,ew,1,240,108,1955-03-31,-0.001471900896633
usa,be_me,monthly,ew,1,241,109,1955-04-30,-0.00412628167852377
usa,be_me,monthly,ew,1,229,104,1955-05-31,-0.0161292249504231
usa,be_me,monthly,ew,1,226,102,1955-06-30,-0.001570818175253
usa,be_me,monthly,ew,1,227,102,1955-07-31,0.0162175783640549
usa,be_me,monthly,ew,1,226,102,1955-08-31,-0.0156278842135041
usa,be_me,monthly,ew,1,227,102,1955-09-30,0.0060822468894902
usa,be_me,monthly,ew,1,223,101,1955-10-31,0.0110010753970541
usa,be_me,monthly,ew,1,224,101,1955-11-30,-0.0201038933478789
usa,be_me,monthly,ew,1,225,101,1955-12-31,-0.0154921888137496
usa,be_me,monthly,ew,1,223,102,1956-01-31,0.0294902033488089
usa,be_me,monthly,ew,1,223,102,1956-02-29,-0.0255209808423594
usa,be_me,monthly,ew,1,224,102,1956-03-31,-0.0358112216035037
usa,be_me,monthly,ew,1,227,102,1956-04-30,-0.0234315581264706
usa,be_me,monthly,ew,1,228,103,1956-05-31,-0.000463402990640779
usa,be_me,monthly,ew,1,229,102,1956-06-30,-0.0402050897991431
usa,be_me,monthly,ew,1,229,102,1956-07-31,-0.0183998019822835
usa,be_me,monthly,ew,1,230,102,1956-08-31,0.0157551012267923
usa,be_me,monthly,ew,1,230,101,1956-09-30,0.0350345876602272
usa,be_me,monthly,ew,1,228,101,1956-10-31,-0.0031304110515787
usa,be_me,monthly,ew,1,231,102,1956-11-30,0.00610866869829002
usa,be_me,monthly,ew,1,231,102,1956-12-31,-0.0352545604343137
usa,be_me,monthly,ew,1,233,101,1957-01-31,0.0585161781124362
usa,be_me,monthly,ew,1,231,101,1957-02-28,-0.013936666768134
usa,be_me,monthly,ew,1,233,103,1957-03-31,-0.00311004667126961
usa,be_me,monthly,ew,1,231,101,1957-04-30,-0.0167048586943793
usa,be_me,monthly,ew,1,234,104,1957-05-31,-0.0269330158236538
usa,be_me,monthly,ew,1,234,103,1957-06-30,-0.0214757432191729
usa,be_me,monthly,ew,1,234,103,1957-07-31,0.0134313076142074
usa,be_me,monthly,ew,1,234,103,1957-08-31,0.022570512552316
usa,be_me,monthly,ew,1,234,104,1957-09-30,0.0127484294151923
usa,be_me,monthly,ew,1,232,105,1957-10-31,-0.0116238199547207
usa,be_me,monthly,ew,1,234,105,1957-11-30,-0.0431654290278405
usa,be_me,monthly,ew,1,233,105,1957-12-31,-0.0193004719641496
usa,be_me,monthly,ew,1,233,105,1958-01-31,0.0925781659301116
usa,be_me,monthly,ew,1,235,104,1958-02-28,-0.0115958848131386
usa,be_me,monthly,ew,1,235,105,1958-03-31,-0.000148915887289373
usa,be_me,monthly,ew,1,235,105,1958-04-30,-0.00418445060857143
usa,be_me,monthly,ew,1,237,106,1958-05-31,0.0119523040166715
