location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,be_me,monthly,vw_cap,1,13,4,1950-11-30,0.0507204461896352
usa,be_me,monthly,vw_cap,1,16,6,1950-12-31,0.0452731851353689
usa,be_me,monthly,vw_cap,1,21,8,1951-01-31,0.0149592955024429
usa,be_me,monthly,vw_cap,1,30,12,1951-02-28,-0.0154036139982851
usa,be_me,monthly,vw_cap,1,39,17,1951-03-31,0.0183924926623278
usa,be_me,monthly,vw_cap,1,45,19,1951-04-30,0.0347933903545274
usa,be_me,monthly,vw_cap,1,213,96,1951-05-31,0.00852962492432112
usa,be_me,monthly,vw_cap,1,220,98,1951-06-30,-0.0312567220014452
usa,be_me,monthly,vw_cap,1,224,100,1951-07-31,0.0177381278793321
usa,be_me,monthly,vw_cap,1,230,103,1951-08-31,0.0158166089571228
usa,be_me,monthly,vw_cap,1,234,105,1951-09-30,0.00183116290821906
usa,be_me,monthly,vw_cap,1,236,107,1951-10-31,0.0248149097676211
usa,be_me,monthly,vw_cap,1,236,106,1951-11-30,-0.00417325346659504
usa,be_me,monthly,vw_cap,1,238,107,1951-12-31,-0.0309437347347631
usa,be_me,monthly,vw_cap,1,239,107,1952-01-31,0.0123607110383355
usa,be_me,monthly,vw_cap,1,237,106,1952-02-29,0.0128582612359887
usa,be_me,monthly,vw_cap,1,237,107,1952-03-31,0.000232870167374381
usa,be_me,monthly,vw_cap,1,238,107,1952-04-30,0.0052999208058224
usa,be_me,monthly,vw_cap,1,239,108,1952-05-31,0.00044737384773353
usa,be_me,monthly,vw_cap,1,241,107,1952-06-30,-0.000816803323441445
usa,be_me,monthly,vw_cap,1,239,108,1952-07-31,0.011210081349572
usa,be_me,monthly,vw_cap,1,240,109,1952-08-31,0.00311301318645751
usa,be_me,monthly,vw_cap,1,240,108,1952-09-30,-0.0108776889342742
usa,be_me,monthly,vw_cap,1,241,109,1952-10-31,0.00894147117100402
usa,be_me,monthly,vw_cap,1,241,109,1952-11-30,0.00294904403304871
usa,be_me,monthly,vw_cap,1,242,110,1952-12-31,0.0121250177933468
usa,be_me,monthly,vw_cap,1,241,110,1953-01-31,0.0257495386014442
usa,be_me,monthly,vw_cap,1,241,110,1953-02-28,0.0045460883907412
usa,be_me,monthly,vw_cap,1,242,109,1953-03-31,0.012071483367173
usa,be_me,monthly,vw_cap,1,244,110,1953-04-30,0.00382988130105476
usa,be_me,monthly,vw_cap,1,244,111,1953-05-31,-0.00575951810060825
usa,be_me,monthly,vw_cap,1,243,110,1953-06-30,-0.00955421164804834
usa,be_me,monthly,vw_cap,1,241,109,1953-07-31,-0.00527764891190498
usa,be_me,monthly,vw_cap,1,242,111,1953-08-31,-0.0232391032548765
usa,be_me,monthly,vw_cap,1,244,111,1953-09-30,-0.026851420775345
usa,be_me,monthly,vw_cap,1,244,111,1953-10-31,0.00942143451032849
usa,be_me,monthly,vw_cap,1,243,111,1953-11-30,-0.00710710893893106
usa,be_me,monthly,vw_cap,1,242,109,1953-12-31,-0.0261936585052837
usa,be_me,monthly,vw_cap,1,243,110,1954-01-31,0.0479271579661381
usa,be_me,monthly,vw_cap,1,241,110,1954-02-28,-0.00572984877889606
usa,be_me,monthly,vw_cap,1,241,111,1954-03-31,-0.0117070960714999
usa,be_me,monthly,vw_cap,1,244,111,1954-04-30,-0.0295291327071278
usa,be_me,monthly,vw_cap,1,245,111,1954-05-31,0.02351941537393
usa,be_me,monthly,vw_cap,1,245,112,1954-06-30,-0.0166274491414305
usa,be_me,monthly,vw_cap,1,245,111,1954-07-31,0.0132745814378769
usa,be_me,monthly,vw_cap,1,243,110,1954-08-31,0.0104729710110714
